NBA PLAYERS,NBA TEAMS (FULL),NBA TEAM NAMES,NBA TEAM CITIES
Jordan Poole,,,
Kevin Porter Jr.,,,
Michael Porter Jr.,,,
Otto Porter Jr.,,,
Bobby Portis,,,
Kristaps Porziņģis,,,
Dwight Powell,,,
Norman Powell,,,
Jason Preston,,,
Joshua Primo,,,
Taurean Prince,,,
Payton Pritchard,,,
Immanuel Quickley,,,
Julius Randle,,,
Austin Reaves,,,
Cam Reddish,,,
Davon Reed,,,
Paul Reed,,,
Naz Reid,,,
Nick Richards,,,
Josh Richardson,,,
Austin Rivers,,,
Jeremiah Robinson-Earl,,,
Duncan Robinson,,,
Mitchell Robinson,,,
Orlando Robinson,,,
Isaiah Roby,,,
David Roddy,,,
Derrick Rose,,,
Terrence Ross,,,
Terry Rozier,,,
Ricky Rubio,,,
D'Angelo Russell,,,
Domantas Sabonis,,,
Dario Šarić,,,
Admiral Schofield,,,
Dennis Schröder,,,
Alperen Şengün,,,
Collin Sexton,,,
Landry Shamet,,,
Day'Ron Sharpe,,,
Shaedon Sharpe,,,
Pascal Siakam,,,
Ben Simmons,,,
Anfernee Simons,,,
Jericho Sims,,,
Marcus Smart,,,
Dennis Smith Jr.,,,
Ish Smith,,,
Jabari Smith Jr.,,,
Jalen Smith,,,
Jeremy Sochan,,,
Jaden Springer,,,
Lamar Stevens,,,
Isaiah Stewart,,,
Max Strus,,,
Jalen Suggs,,,
Edmond Sumner,,,
Jae'Sean Tate,,,
Jayson Tatum,,,
Terry Taylor,,,
Garrett Temple,,,
Dalen Terry,,,
Daniel Theis,,,
Cam Thomas,,,
Klay Thompson,,,
JT Thor,,,
Matisse Thybulle,,,
Xavier Tillman Sr.,,,
Obi Toppin,,,
Juan Toscano-Anderson,,,
Karl-Anthony Towns,,,
Gary Trent Jr.,,,
P.J. Tucker,,,
Myles Turner,,,
Jonas Valančiūnas,,,
Jarred Vanderbilt,,,
Fred VanVleet,,,
Devin Vassell,,,
Gabe Vincent,,,
Noah Vonleh,,,
Nikola Vučević,,,
Dean Wade,,,
Franz Wagner,,,
Moritz Wagner,,,
Kemba Walker,,,
Lonnie Walker IV,,,
John Wall,,,
T.J. Warren,,,
Duane Washington Jr.,,,
P.J. Washington,,,
TyTy Washington Jr.,,,
Yuta Watanabe,,,
Lindy Waters III,,,
Trendon Watford,,,
Blake Wesley,,,
Russell Westbrook,,,
Coby White,,,
Derrick White,,,
Aaron Wiggins,,,
Andrew Wiggins,,,
Grant Williams,,,
Jalen Williams,,,
Jaylin Williams,,,
Kenrich Williams,,,
Mark Williams,,,
Patrick Williams,,,
Robert Williams,,,
Ziaire Williams,,,
Zion Williamson,,,
Justise Winslow,,,
James Wiseman,,,
Christian Wood,,,
Delon Wright,,,
Thaddeus Young,,,
Trae Young,,,
Ivica Zubac,,,
